Year;Prod;Cons
2000;63.4;58.3
2001;68.2;59.7
2002;62.6;60.5
2003;62.4;62.2
2004;61.1;62.8
2005;55.3;64.3
2006;59.4;64.8
2007;63.8;63.9
2008;64.3;65.8
2009;64;64.3
2010;63.8;66.8
2011;60.4;65.5
2012;65.6;65.8
2013;66.2;65.9
2014;67.3;64.1
2015;63.7;64.9
2016;58.7;65.5
2017;57.3;67
2018;63.6;66
2019;67.8;65.6
2020;62.4;66.8
2021;62.5;66.5
2022;57.9;67.3
2023;58.2;67.4
2024;58.9;67.6
2025;59.4;67.8
2026;60.1;68.2
2027;60.6;68.9
2028;61.7;69.3
2029;55.5;69.6
2030;56.7;70.4
2031;57.8;71.3
2032;59.1;72.3
2033;60.2;73.3
2034;53.3;73.5
2035;54.8;73.5
2036;56.4;74.8
2037;57.8;76.4
2038;59.5;77.8
2039;61.2;78.2
2040;63;79.5
2041;64.3;79.6
2042;66;81.3
2043;67.3;81
2044;68.6;81.5
2045;70;82.9
2046;71.5;82.6
2047;72.7;83.5
2048;74;83.2
2049;75.2;83.5
2050;76.4;84.4
2051;77.1;84
2052;77.9;84.5
2053;78.4;84.4
2054;78.7;84
2055;79.3;84.3
2056;79.6;84
2057;79.9;83.9
2058;80.3;83.6
2059;80.7;83.6
2060;81.1;83.7
;;
