;Date;Consumption;Prediction
0;2015-01-05;847496263.608;0
1;2015-01-12;1276564151.119;0
2;2015-01-19;1295939026.96;0
3;2015-01-26;1343534033.198;0
4;2015-02-02;1344106391.211;0
5;2015-02-09;1390424518.453;0
6;2015-02-16;1336958136.2220001;0
7;2015-02-23;1316696077.897;0
8;2015-03-02;1296788089.336;0
9;2015-03-09;1260304802.394;0
10;2015-03-16;1209500707.606;0
11;2015-03-23;1171964065.447;0
12;2015-03-30;1184817404.159;0
13;2015-04-06;1130293022.114;0
14;2015-04-13;1098347564.632;0
15;2015-04-20;1077939535.956;0
16;2015-04-27;1063568406.523;0
17;2015-05-04;1099252502.538;0
18;2015-05-11;1080452398.025;0
19;2015-05-18;1017533683.282;0
20;2015-05-25;1067960118.599;0
21;2015-06-01;1071466798.239;0
22;2015-06-08;1071459940.801;0
23;2015-06-15;1075877752.016;0
24;2015-06-22;1057976871.748;0
25;2015-06-29;1047127895.657;0
26;2015-07-06;1081598874.484;0
27;2015-07-13;1058234405.785;0
28;2015-07-20;1033887412.822;0
29;2015-07-27;1018974933.84;0
30;2015-08-03;978670015.523;0
31;2015-08-10;1015277277.567;0
32;2015-08-17;1046561010.498;0
33;2015-08-24;1059483377.933;0
34;2015-08-31;1063768487.336;0
35;2015-09-07;1071293538.043;0
36;2015-09-14;1060277383.594;0
37;2015-09-21;1111992012.576;0
38;2015-09-28;1082901011.887;0
39;2015-10-05;1085881529.422;0
40;2015-10-12;1097600190.982;0
41;2015-10-19;1156589494.233;0
42;2015-10-26;1146284008.004;0
43;2015-11-02;1144492252.829;0
44;2015-11-09;1134467033.734;0
45;2015-11-16;1142922222.653;0
46;2015-11-23;1204360132.631;0
47;2015-11-30;1304311242.009;0
48;2015-12-07;1264547983.238;0
49;2015-12-14;1308734887.734;0
50;2015-12-21;1257076785.486;0
51;2015-12-28;1136779167.18;0
52;2016-01-04;1172438166.049;0
53;2016-01-11;1314693235.848;0
54;2016-01-18;1375104209.266;0
55;2016-01-25;1361713001.794;0
56;2016-02-01;1273471800.315;0
57;2016-02-08;1263586686.72;0
58;2016-02-15;1297692205.816;0
59;2016-02-22;1304349776.8930001;0
60;2016-02-29;1288093765.122;0
61;2016-03-07;1306509541.901;0
62;2016-03-14;1276045729.366;0
63;2016-03-21;1234562824.616;0
64;2016-03-28;1149973833.786;0
65;2016-04-04;1135137088.45;0
66;2016-04-11;1150255482.575;0
67;2016-04-18;1150902152.83;0
68;2016-04-25;1133640647.598;0
69;2016-05-02;1176905794.2;0
70;2016-05-09;1067264463.459;0
71;2016-05-16;1098085157.281;0
72;2016-05-23;1098249138.502;0
73;2016-05-30;1104907561.203;0
74;2016-06-06;1105443057.917;0
75;2016-06-13;1088438712.178;0
76;2016-06-20;1104416422.266;0
77;2016-06-27;1099894943.224;0
78;2016-07-04;1100745508.739;0
79;2016-07-11;1099274493.727;0
80;2016-07-18;1063129551.589;0
81;2016-07-25;1002373454.606;0
82;2016-08-01;959664323.6620001;0
83;2016-08-08;1000726433.746;0
84;2016-08-15;1017705144.377;0
85;2016-08-22;1060663469.824;0
86;2016-08-29;1071186481.817;0
87;2016-09-05;1074964872.408;0
88;2016-09-12;1061564956.145;0
89;2016-09-19;1059391214.434;0
90;2016-09-26;1063300311.386;0
91;2016-10-03;1061670048.311;0
92;2016-10-10;1127502651.325;0
93;2016-10-17;1163681879.882;0
94;2016-10-24;1167036148.286;0
95;2016-10-31;1203796731.4;0
96;2016-11-07;1210200894.439;0
97;2016-11-14;1283038833.126;0
98;2016-11-21;1237736598.88;0
99;2016-11-28;1234310415.29;0
100;2016-12-05;1316656650.224;0
101;2016-12-12;1315424256.28;0
102;2016-12-19;1343635359.295;0
103;2016-12-26;1222314869.175;0
104;2017-01-02;1186541745.973;0
105;2017-01-09;1345403107.882;0
106;2017-01-16;1408289576.338;0
107;2017-01-23;1469832373.725;0
108;2017-01-30;1449444152.637;0
109;2017-02-06;1368377212.23;0
110;2017-02-13;1354575778.037;0
111;2017-02-20;1288701587.41;0
112;2017-02-27;1233672360.701;0
113;2017-03-06;1265468444.437;0
114;2017-03-13;1256396902.564;0
115;2017-03-20;1167804166.848;0
116;2017-03-27;1150891781.244;0
117;2017-04-03;1097279580.983;0
118;2017-04-10;1089326984.8700001;0
119;2017-04-17;1022029859.665;0
120;2017-04-24;1124412596.114;0
121;2017-05-01;1172874527.086;0
122;2017-05-08;1150275880.41;0
123;2017-05-15;1084809381.7910001;0
124;2017-05-22;1091389060.265;0
125;2017-05-29;1032278358.372;0
126;2017-06-05;1073581126.72;0
127;2017-06-12;1087343851.539;0
128;2017-06-19;1069432000.189;0
129;2017-06-26;1101102154.098;0
130;2017-07-03;1061337828.194;0
131;2017-07-10;1056344088.131;0
132;2017-07-17;1037525050.571;0
133;2017-07-24;1017726168.785;0
134;2017-07-31;985789740.21;0
135;2017-08-07;978974077.523;0
136;2017-08-14;1022484648.839;0
137;2017-08-21;1046851277.681;0
138;2017-08-28;1057412152.5780001;0
139;2017-09-04;1100250675.779;0
140;2017-09-11;1091839049.823;0
141;2017-09-18;1091842923.828;0
142;2017-09-25;1100245538.598;0
143;2017-10-02;1096760608.3;0
144;2017-10-09;1107732886.805;0
145;2017-10-16;1085487974.7450001;0
146;2017-10-23;1101126267.766;0
147;2017-10-30;1150623906.329;0
148;2017-11-06;1175153976.111;0
149;2017-11-13;1263533291.265;0
150;2017-11-20;1296715395.88;0
151;2017-11-27;1281236973.145;0
152;2017-12-04;1344659179.318;0
153;2017-12-11;1353513348.025;0
154;2017-12-18;1382035221.665;0
155;2017-12-25;1283790299.014;0
156;2018-01-01;1212283279.32;0
157;2018-01-08;1225613924.969;0
158;2018-01-15;1301639469.103;0
159;2018-01-22;1317986850.163;0
160;2018-01-29;1258018391.844;0
161;2018-02-05;1311851011.672;0
162;2018-02-12;1336216106.824;0
163;2018-02-19;1323173443.696;0
164;2018-02-26;1386867539.405;0
165;2018-03-05;1394199660.365;0
166;2018-03-12;1276143043.366;0
167;2018-03-19;1295893291.874;0
168;2018-03-26;1295300634.108;0
169;2018-04-02;1179365743.478;0
170;2018-04-09;1149385883.817;0
171;2018-04-16;1107399166.4;0
172;2018-04-23;1081720581.819;0
173;2018-04-30;1084585254.013;0
174;2018-05-07;1087521908.711;0
175;2018-05-14;1047506004.582;0
176;2018-05-21;1082993678.428;0
177;2018-05-28;1061166588.809;0
178;2018-06-04;1067057518.982;0
179;2018-06-11;1068770534.349;0
180;2018-06-18;1089319148.202025;0
181;2018-06-25;1107878433.974743;0
182;2018-07-02;1064979745.539776;0
183;2018-07-09;1043891458.317729;0
184;2018-07-16;1016883993.232702;0
185;2018-07-23;1000382472.810061;0
186;2018-07-30;981340361.748301;0
187;2018-08-06;961118507.294846;0
188;2018-08-13;1046252284.768227;0
189;2018-08-20;1035692306.64725;0
190;2018-08-27;1066982251.7314761;0
191;2018-09-03;1074128956.936607;0
192;2018-09-10;1054555210.120623;0
193;2018-09-17;1080120627.896628;0
194;2018-09-24;1081698867.62421;0
195;2018-10-01;1071385785.659565;0
196;2018-10-08;1066543095.761804;0
197;2018-10-15;1068220413.537567;0
198;2018-10-22;1072777441.339326;0
199;2018-10-29;1160111431.308152;0
200;2018-11-05;1191026539.661884;0
201;2018-11-12;1171948157.49409;0
202;2018-11-19;1252631893.17134;0
203;2018-11-26;1306496220.257419;0
204;2018-12-03;1312615224.269292;0
205;2018-12-10;1273388931.168286;0
206;2018-12-17;1351735215.701167;0
207;2018-12-24;1272194350.870429;0
208;2018-12-31;1159919850.060698;0
209;2019-01-07;1258176781.268146;0
210;2019-01-14;1364874943.718509;0
211;2019-01-21;1359957387.496039;0
212;2019-01-28;1389627507.749641;0
213;2019-02-04;1361081073.772192;0
214;2019-02-11;1361475452.3625271;0
215;2019-02-18;1295466012.125377;0
216;2019-02-25;1255848952.061882;0
217;2019-03-04;1231514052.529716;0
218;2019-03-11;1289302624.2827501;0
219;2019-03-18;1292495818.229184;0
220;2019-03-25;1199121107.296614;0
221;2019-04-01;1162668439.179735;0
222;2019-04-08;1168124647.006326;0
223;2019-04-15;1159386126.9764931;0
224;2019-04-22;1096448509.853961;0
225;2019-04-29;1123975165.03064;0
226;2019-05-06;1163979478.027166;0
227;2019-05-13;1133365708.333417;0
228;2019-05-20;1119325702.28581;0
229;2019-05-27;1134525707.768156;0
230;2019-06-03;1086262749.15136;0
231;2019-06-10;1100195826.638541;0
232;2019-06-17;1131405193.723923;0
233;2019-06-24;1116136751.69996;0
234;2019-07-01;1149354957.312795;0
235;2019-07-08;1074286088.138705;0
236;2019-07-15;1043120245.305852;0
237;2019-07-22;1039302221.965306;0
238;2019-07-29;1031755452.068806;0
239;2019-08-05;904290089.190012;0
240;2019-08-12;1047577809.971956;0
241;2019-08-19;1025292827.877595;0
242;2019-08-26;1038728761.779822;0
243;2019-09-02;1073268458.802482;0
244;2019-09-09;1033723266.101745;0
245;2019-09-16;1076410506.871635;0
246;2019-09-23;1098087342.779776;0
247;2019-09-30;1089758079.227485;0
248;2019-10-07;1136164215.441552;0
249;2019-10-14;1138199957.679263;0
250;2019-10-21;1144459772.891492;0
251;2019-10-28;1149348056.354871;0
252;2019-11-04;1160674241.2917361;0
253;2019-11-11;1231640634.936413;0
254;2019-11-18;1273757517.66946;0
255;2019-11-25;1265724381.653619;0
256;2019-12-02;1316199750.449288;0
257;2019-12-09;1318929075.908865;0
258;2019-12-16;1314572607.107763;0
259;2019-12-23;1251235456.369666;0
260;2019-12-30;1155062111.754428;0
261;2020-01-06;1197103604.532973;0
262;2020-01-13;1275668011.378908;0
263;2020-01-20;1298808890.402144;0
264;2020-01-27;1357402452.658166;0
265;2020-02-03;1296156218.372439;0
266;2020-02-10;1301137473.151829;0
267;2020-02-17;1256785177.893543;0
268;2020-02-24;1236122517.7039201;0
269;2020-03-02;1281368560.539273;0
270;2020-03-09;1264728439.486681;0
271;2020-03-16;1227067679.843067;0
272;2020-03-23;1129886852.302637;0
273;2020-03-30;1141030208.724317;0
274;2020-04-06;1107901175.484611;0
275;2020-04-13;976927591.748685;0
276;2020-04-20;1036221948.367978;0
277;2020-04-27;1037890044.933581;0
278;2020-05-04;1076373034.640818;0
279;2020-05-11;1052075022.8794041;0
280;2020-05-18;1101857491.143526;0
281;2020-05-25;1053148352.903145;0
282;2020-06-01;1055265119.076442;0
283;2020-06-08;1085305870.961663;0
284;2020-06-15;1076215655.839524;0
285;2020-06-22;1040094713.685431;0
286;2020-06-29;1054265217.688322;0
287;2020-07-06;1066728578.834481;0
288;2020-07-13;1049754395.285487;0
289;2020-07-20;1001176938.096739;0
290;2020-07-27;979846527.803811;0
291;2020-08-03;994514020.556392;0
292;2020-08-10;1033848348.267108;0
293;2020-08-17;1052832271.066337;0
