;Date;Production;Prediction
0;2015-01-05;722395960.463;0
1;2015-01-12;1175262310.222;0
2;2015-01-19;1223146448.376;0
3;2015-01-26;1295408058.507;0
4;2015-02-02;1258641959.042;0
5;2015-02-09;1376091004.067;0
6;2015-02-16;1209662327.147;0
7;2015-02-23;1206165648.174;0
8;2015-03-02;1151111128.698;0
9;2015-03-09;1126836216.625;0
10;2015-03-16;1053424577.134;0
11;2015-03-23;1019706464.546;0
12;2015-03-30;1024269349.888;0
13;2015-04-06;941722158.646;0
14;2015-04-13;982457712.752;0
15;2015-04-20;1074605319.867;0
16;2015-04-27;1103196815.283;0
17;2015-05-04;1219032713.902;0
18;2015-05-11;1375542077.093;0
19;2015-05-18;1447999591.143;0
20;2015-05-25;1402323970.805;0
21;2015-06-01;1300767222.228;0
22;2015-06-08;1385551681.703;0
23;2015-06-15;1405854328.889;0
24;2015-06-22;1315697464.288;0
25;2015-06-29;1283256498.861;0
26;2015-07-06;1410492272.704;0
27;2015-07-13;1411153075.962;0
28;2015-07-20;1419769198.832;0
29;2015-07-27;1321356258.856;0
30;2015-08-03;1122709195.767;0
31;2015-08-10;1121462437.211;0
32;2015-08-17;972079495.316;0
33;2015-08-24;877238451.219;0
34;2015-08-31;982987916.22;0
35;2015-09-07;922985302.958;0
36;2015-09-14;822037180.147;0
37;2015-09-21;1147559032.5;0
38;2015-09-28;1166225525.476;0
39;2015-10-05;1077297384.085;0
40;2015-10-12;1126428612.218;0
41;2015-10-19;1173490464.335;0
42;2015-10-26;942936713.482;0
43;2015-11-02;911314916.171;0
44;2015-11-09;1018516436.294;0
45;2015-11-16;1054146540.049;0
46;2015-11-23;1103270160.014;0
47;2015-11-30;1267012958.403;0
48;2015-12-07;1165513790.594;0
49;2015-12-14;1094989052.389;0
50;2015-12-21;992606966.836;0
51;2015-12-28;822494805.374;0
52;2016-01-04;816835717.616;0
53;2016-01-11;957257892.827;0
54;2016-01-18;1031163257.575;0
55;2016-01-25;1134086408.671;0
56;2016-02-01;1012394371.746;0
57;2016-02-08;1073695807.2919999;0
58;2016-02-15;1056863232.882;0
59;2016-02-22;1092879594.159;0
60;2016-02-29;1044134436.301;0
61;2016-03-07;1080666282.444;0
62;2016-03-14;1053609935.668;0
63;2016-03-21;1061146798.071;0
64;2016-03-28;936405543.272;0
65;2016-04-04;1071949726.704;0
66;2016-04-11;1144895151.092;0
67;2016-04-18;1157030892.121;0
68;2016-04-25;1213966848.847;0
69;2016-05-02;1201834049.743;0
70;2016-05-09;1098101793.97;0
71;2016-05-16;1242091934.641;0
72;2016-05-23;1249099782.52;0
73;2016-05-30;1341257994.05;0
74;2016-06-06;1416335257.128;0
75;2016-06-13;1331862982.825;0
76;2016-06-20;1338783364.963;0
77;2016-06-27;1406972357.987;0
78;2016-07-04;1475895225.787;0
79;2016-07-11;1402028572.954;0
80;2016-07-18;1395937517.056;0
81;2016-07-25;1431792433.125;0
82;2016-08-01;1299428325.222;0
83;2016-08-08;1094123241.52233;0
84;2016-08-15;923241788.695;0
85;2016-08-22;945106618.209;0
86;2016-08-29;1050383769.054;0
87;2016-09-05;1056774712.584;0
88;2016-09-12;1093150568.198;0
89;2016-09-19;1043147117.045;0
90;2016-09-26;937069531.665;0
91;2016-10-03;830684005.64;0
92;2016-10-10;780564790.365;0
93;2016-10-17;848594753.232;0
94;2016-10-24;866028825.134;0
95;2016-10-31;801334761.643;0
96;2016-11-07;754427465.144;0
97;2016-11-14;872428337.056;0
98;2016-11-21;767977705.1620001;0
99;2016-11-28;852250587.061;0
100;2016-12-05;983895388.996;0
101;2016-12-12;935777928.746;0
102;2016-12-19;1050180842.948;0
